JZ 
82934,11947,城区  0.89,50002
80349,9330,城区  1.00,50004
81573,318,城区  1.08,50006
80773,5600,城区  1.11,50008
90397,4476,城区  1.07,50010
104587,15584,城区  1.03,50012
89842,18248,城区  0.86,50014
91179,8354,城区  1.01,50016
80104,9284,城区  1.02,50018
97232,9935,城区  1.04,50020
99341,10757,城区  1.02,50022
82723,10817,城区  1.11,50024
98444,1303,城区  0.87,50026
97786,12632,城区  1.08,50028
104891,4183,城区  0.90,50030
80010,7170,城区  0.96,50032
103954,15500,城区  1.08,50034
105641,11503,城区  0.97,50036
104709,2100,城区  0.96,50038
107048,14641,城区  0.85,50040
94722,6323,城区  1.02,50042
82136,10604,城区  1.05,50044
88832,1256,城区  1.10,50046
105479,4524,城区  0.93,50048
101974,10327,城区  0.92,50050
95232,14711,城区  0.99,50052
85729,4490,城区  0.94,50054
94483,5170,城区  0.99,50056
93853,1109,城区  1.11,50058
103279,1942,城区  0.92,50060
89920,5853,城区  0.99,50062
81139,10636,城区  1.10,50064
81982,17915,城区  0.95,50066
105957,3899,城区  0.90,50068
103082,7274,城区  0.98,50070
85096,443,城区  0.90,50072
94992,15812,城区  0.90,50074
96111,2217,城区  0.86,50076
81469,284,城区  1.12,50078
91876,10916,城区  1.07,50080
104806,1715,城区  1.15,50082
81800,2183,城区  1.12,50084
101023,1885,城区  0.90,50086
82684,12473,城区  0.92,50088
82208,6319,城区  1.07,50090
103789,12296,城区  0.93,50092
96879,8784,城区  1.08,50094
86113,10857,城区  1.09,50096
109598,14527,城区  0.94,50098
91840,7481,城区  0.91,50100
99248,10511,城区  1.04,50102
103275,16394,城区  0.93,50104
80887,6118,城区  1.13,50106
107616,7787,城区  0.93,50108
98979,17158,城区  0.85,50110
89976,8645,城区  0.96,50112
97483,19873,城区  0.85,50114
96647,6883,城区  1.11,50116
80339,6095,城区  0.89,50118
105396,8227,城区  1.14,50120
86933,11647,城区  1.05,50122
90404,9407,城区  1.12,50124
109398,4207,城区  0.88,50126
109385,2710,城区  1.03,50128
82293,19168,城区  1.13,50130
81994,9803,城区  1.06,50132
80450,18577,城区  0.96,50134
98457,13289,城区  1.10,50136
90732,15121,城区  1.09,50138
103929,11685,城区  1.12,50140
105037,2338,城区  0.93,50142
85178,1451,城区  0.89,50144
80712,14054,城区  0.89,50146
81755,1612,城区  0.89,50148
96009,10318,城区  1.11,50150
100146,4473,城区  1.13,50152
99010,18073,城区  1.02,50154
81106,12144,城区  1.09,50156
82238,11641,城区  1.01,50158
84468,6220,城区  0.98,50160
109062,7299,城区  1.11,50162
82577,8373,城区  0.86,50164
95370,8384,城区  0.87,50166
81305,15459,城区  1.00,50168
87617,6842,城区  0.99,50170
94408,12041,城区  1.06,50172
81446,19761,城区  1.11,50174
102882,305,城区  0.97,50176
81009,9482,城区  1.11,50178
106661,9736,城区  0.95,50180
102634,3080,城区  1.07,50182
81518,19944,城区  1.14,50184
89256,7063,城区  0.92,50186
102839,6508,城区  1.01,50188
84659,7565,城区  1.02,50190
100279,5639,城区  1.15,50192
82546,11921,城区  0.91,50194
